leixing,nianfen,licheng,didian,shoujia,yuanjia
凯迪拉克ATS-L 2016款 28T 时尚型,2016年,2.5万公里,长沙,16.77万,34.60万
奥迪A6L 2014款 TFSI 标准型,2014年,13.8万公里,长沙,21.96万,44.50万
本田 思域 2016款 1.8L 自动舒适版,2016年,4.8万公里,长沙,8.87万,15.20万
大众 朗逸 2015款 1.6L 自动舒适版,2016年,10.5万公里,长沙,7.27万,14.90万
leixing,nianfen,licheng,didian,shoujia,yuanjia
凯迪拉克ATS-L 2016款 28T 时尚型,2016年,2.5万公里,长沙,16.77万,34.60万
奥迪A6L 2014款 TFSI 标准型,2014年,13.8万公里,长沙,21.96万,44.50万
本田 思域 2016款 1.8L 自动舒适版,2016年,4.8万公里,长沙,8.87万,15.20万
大众 朗逸 2015款 1.6L 自动舒适版,2016年,10.5万公里,长沙,7.27万,14.90万
leixing,nianfen,licheng,didian,shoujia,yuanjia
凯迪拉克ATS-L 2016款 28T 时尚型,2016年,2.5万公里,长沙,16.77万,34.60万
奥迪A6L 2014款 TFSI 标准型,2014年,13.8万公里,长沙,21.96万,44.50万
本田 思域 2016款 1.8L 自动舒适版,2016年,4.8万公里,长沙,8.87万,15.20万
大众 朗逸 2015款 1.6L 自动舒适版,2016年,10.5万公里,长沙,7.27万,14.90万
别克 君威 2014款 GS 2.0T 燃情运动版,2015年,3.0万公里,长沙,补贴后11.97万,
Smart smart fortwo 2012款 1.0 MHD 硬顶标准版,2014年,5.6万公里,长沙,4.89万,12.50万
宝马1系 2013款 改款 116i 领先型(进口),2014年,1.9万公里,长沙,12.00万,28.40万
马自达 昂克赛拉 2014款 三厢 1.5L 自动豪华型,2015年,3.5万公里,长沙,9.09万,15.10万
吉利 博瑞 2015款 1.8T 尊贵型,2016年,5.1万公里,长沙,8.48万,17.00万
丰田 雷凌 2017款 改款 185T CVT精英版,2017年,1.6万公里,长沙,9.43万,13.80万
吉利 博瑞 2016款 1.8T 舒适型,2017年,6.0万公里,长沙,7.51万,15.20万
雪铁龙 世嘉 2016款 经典 三厢 1.6L 自动品尚型,2016年,4.8万公里,长沙,5.26万,11.30万
奔驰B级 2009款 B 200 时尚型(进口),2011年,6.9万公里,长沙,补贴后8.33万,
日产 逍客 2017款 2.0L CVT智享版,2018年,1.6万公里,长沙,12.70万,17.10万
日产 骐达 2011款 1.6L CVT智能型,2011年,7.5万公里,长沙,5.20万,13.60万
本田 凌派 2013款 1.8L 自动豪华版,2015年,8.5万公里,长沙,8.36万,14.60万
Smart smart fortwo 2012款 1.0 MHD 硬顶标准版,2014年,6.0万公里,长沙,5.14万,12.50万
五菱宏光 2014款 1.5L S标准型,2017年,1.2万公里,长沙,3.65万,5.40万
菲亚特 致悦 2014款 1.4T 自动时尚版,2015年,8.7万公里,长沙,补贴后5.09万,
哈弗H6 2015款 运动版 1.5T 自动两驱豪华型,2016年,3.5万公里,长沙,7.53万,14.80万
日产 骐达 2014款 1.6L CVT智能型,2015年,3.5万公里,长沙,7.30万,13.60万
